,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
ITK,-4.69163522832344,5.6753408348142,-19.6104198884063,1.15141091902458e-23,1.42809496286618e-19,43.0969080509495,Down
MYBL1,-4.19109588048858,5.56551240609885,-18.1073416998498,2.79865033665728e-22,1.73558300627801e-18,40.1095470424118,Down
IL2RB,-3.22610003227716,7.43884549292255,-15.6424794015512,8.32249496352778e-20,3.44079683442117e-16,34.7028086781461,Down
IL7R,-5.7652191212753,6.03969539295686,-15.4167222607118,1.44696414650879e-19,4.48667407728713e-16,34.1732751337303,Down
IL18RAP,-4.85540477132626,5.24187193772351,-15.2276001587077,2.30971349454029e-19,5.72947529455664e-16,33.7249862909708,Down
CCR7,-4.13786292293642,5.77703884867289,-14.980659473538,4.27916391976969e-19,8.84574501615058e-16,33.1331367308981,Down
SYNE2,-3.36870359447614,5.0882418736284,-14.8327931314412,6.21078756640934e-19,1.10046283123107e-15,32.7751752542129,Down
MAL,-3.2532339902292,4.1125120762072,-14.7368180823171,7.92020780992308e-19,1.22792921833095e-15,32.5413926018148,Down
PVRIG,-2.77611496812861,5.13898730615965,-14.5602529037149,1.24219611638702e-18,1.71188427017202e-15,32.1083164817698,Down
FLT3,4.32803508733757,7.80581312769566,14.3531439544023,2.11570131563581e-18,2.62410434178309e-15,31.5953516317155,Up
KLRF1,-3.90941461130306,5.60970789209171,-14.1522599356444,3.56329574076036e-18,4.01777791569553e-15,31.092627636191,Down
RASGRP1,-4.68815332984807,5.15325269205129,-13.5551335242525,1.72643060122917e-17,1.78440989558712e-14,29.5677119726996,Down
CYP4F3,-5.60356965909279,4.81022560340319,-13.466011357933,2.19299245884201e-17,2.09228349746288e-14,29.3361407063375,Down
GZMB,-4.75098634929567,5.89617332738009,-13.12689956455,5.49803885633074e-17,4.87086970964787e-14,28.4454382510006,Down
RUBCNL,-3.26905272343317,5.6400200316216,-13.0242467021379,7.28216080813497e-17,6.0213760335532e-14,28.1728053331077,Down
NELL2,-2.43052688102073,5.8401878615839,-12.9327178512041,9.36629302262328e-17,7.09329766448614e-14,27.9285304278855,Down
GZMK,-3.60149264394687,5.73679898365999,-12.9191828804273,9.72233010531842e-17,7.09329766448614e-14,27.8923127976276,Down
MS4A1,-4.23994998126472,5.22074954236379,-12.8810431960428,1.08014169089223e-16,7.44277632896465e-14,27.7901245016248,Down
TGFBI,-5.29479167025979,7.13325058388655,-12.8318080364867,1.23767371453493e-16,8.07940372704037e-14,27.6579194923323,Down
QPCT,-4.18081727778131,6.53636965124558,-12.7387066550815,1.60240129925976e-16,9.93729165735943e-14,27.4070359623132,Down
LBH,-3.94772305837368,4.82989176987432,-12.5338402301502,2.83961594905763e-16,1.67713126743627e-13,26.8508619953317,Down
STAT4,-3.22006801999543,5.14530350153125,-12.4066932924865,4.06108333232375e-16,2.28952802594597e-13,26.5028269239066,Down
CEMIP2,-2.10317339533389,4.68907020331148,-12.2920412469371,5.61721697137924e-16,3.02914530852246e-13,26.1871123441936,Down
KLRD1,-3.69844182299718,4.09311291288417,-12.2492828099075,6.34230995711336e-16,3.27765293325321e-13,26.0689118066819,Down
ADAM19,-3.12282227116088,4.7788400354803,-12.007442704345,1.26584295983206e-15,6.28010009231883e-13,25.3956829706688,Down
TGFBR3,-3.04850785845361,4.55627791380061,-11.9822642485854,1.36086381435904e-15,6.34071411901385e-13,25.3251328258363,Down
CD247,-4.01023289209213,5.91563677962364,-11.9773331546559,1.38030541976436e-15,6.34071411901385e-13,25.3113057311312,Down
TRAC,-3.81490566140188,8.21152135048948,-11.7260773446398,2.85545826199917e-15,1.26486602941342e-12,24.6023653186913,Down
LCK,-4.27901306705997,5.64279358438383,-11.663004999048,3.43147840139687e-15,1.46760781422501e-12,24.4230437819324,Down
AKTIP,-2.32355112228822,5.50225645668546,-11.6433719076545,3.63386340419123e-15,1.50236026007279e-12,24.367113532756,Down
CBX7,-2.31255299144729,6.11579928682031,-11.5887064907933,4.26361227322228e-15,1.70585751692826e-12,24.2111058244764,Down
IL32,-3.66435691959063,5.3827488405822,-11.2761722539547,1.07110057873726e-14,4.15151889939946e-12,23.3113140686643,Down
CD27,-2.79583602444225,5.86441865081488,-11.1877987545976,1.3929868892793e-14,5.23552011749428e-12,23.0544601456304,Down
SKAP1,-2.1398042258009,4.75432027101189,-11.111242543453,1.75048781686598e-14,6.38567658605551e-12,22.8310898336407,Down
TMEM131L,-1.70404236644856,8.0854395484623,-11.0834010405818,1.90248666652349e-14,6.74186917854023e-12,22.7496574219349,Down
CKAP4,-2.90962692646773,6.50360229349287,-10.6662455943676,6.70438552381015e-14,2.30984704588381e-11,21.5169103537704,Down
FCMR,-3.87574747136707,7.72245946688417,-10.6143792630654,7.85333645260146e-14,2.63256573031394e-11,21.3619915991494,Down
IVNS1ABP,-2.92012356624249,6.87615117934035,-10.5871675651218,8.53404889688813e-14,2.78546864389746e-11,21.2805685022265,Down
HEXA,1.22805550925048,8.26146342694361,10.3955933491864,1.5362958415882e-13,4.88581469826113e-11,20.7045270309496,Up
ENO1,1.58819266228403,11.7083700719321,10.3706406457012,1.65912875148625e-13,5.14454347617098e-11,20.6291361292246,Up
CD8B,-2.48611263700337,4.13809560907575,-10.3193871027252,1.94358323878791e-13,5.87957631967963e-11,20.4740213460731,Down
KLRB1,-4.64213207660968,6.46915662336923,-10.1545956776179,3.23997535474515e-13,9.56795579164383e-11,19.9729361929565,Down
GNLY,-4.60171963456628,6.65335735222316,-10.0329988754311,4.73432715582313e-13,1.36557813287615e-10,19.6009050836235,Down
G0S2,-4.83440320308995,8.53092939334002,-9.99040925527298,5.40929446611312e-13,1.52480634689093e-10,19.4701441017919,Down
BCL11B,-3.3428633194411,5.24471974029382,-9.91038641678649,6.9528443515074e-13,1.91635841092769e-10,19.2238177745486,Down
DUSP10,2.12618031754549,6.95544737604212,9.88562297792122,7.51570459421021e-13,2.02646269743455e-10,19.1474234850301,Up
FPR2,-4.69522647514525,5.64188193455639,-9.84124976804552,8.64232456939764e-13,2.24603256385068e-10,19.0103366549657,Down
PFKP,1.74936723536185,7.95066020982405,9.83942270266151,8.69221664636239e-13,2.24603256385068e-10,19.0046866972236,Up
POU2AF1,-3.69198278656965,4.43110104111345,-9.81855274783497,9.28323873546443e-13,2.34979612318297e-10,18.9401188169778,Down
ARG1,-2.70568118568143,5.64272980527242,-9.81017041584498,9.53192642275643e-13,2.36448966842896e-10,18.9141697180761,Down
VDAC2,1.21903053399921,10.1321604997388,9.79717692705602,9.9308195405717e-13,2.41513636787668e-10,18.8739281781578,Up
GZMA,-3.8768762765914,7.04098081510326,-9.76276921553512,1.10707213005779e-12,2.64057992867437e-10,18.7672617010465,Down
