,Cor_BM,Cor_PB,P_BM,P_PB
MEpink,-0.122125424178533,0.122125424178533,0.418783906698386,0.418783906698386
MEbrown,-0.767620908323805,0.767620908323805,4.84324239918384e-10,4.84324239918384e-10
MEtan,-0.0913566081716842,0.0913566081716842,0.545961000747672,0.545961000747672
MEblue,0.651784763378459,-0.651784763378459,9.27426831964438e-07,9.27426831964438e-07
MEgreenyellow,-0.240930245579301,0.240930245579301,0.106753595322568,0.106753595322568
MEcyan,0.266303103528301,-0.266303103528301,0.0736296723690258,0.0736296723690258
MEgreen,0.231803795767628,-0.231803795767628,0.12111729719814,0.12111729719814
MEgrey60,0.245383345735778,-0.245383345735778,0.100236500443093,0.100236500443093
MEpurple,0.244169035567158,-0.244169035567158,0.101982468821133,0.101982468821133
MEsalmon,0.295666933602846,-0.295666933602846,0.0460457508379956,0.0460457508379956
MElightgreen,0.294457127200851,-0.294457127200851,0.0469858838209602,0.0469858838209602
MEblack,0.249653968551591,-0.249653968551591,0.0942783354167432,0.0942783354167432
MEmidnightblue,0.244907244636332,-0.244907244636332,0.10091828924063,0.10091828924063
MElightcyan,0.231403832597975,-0.231403832597975,0.121778599344862,0.121778599344862
MEturquoise,0.27381144342736,-0.27381144342736,0.0655722511426677,0.0655722511426677
MEgrey,-0.0508640190917171,0.0508640190917171,0.737097083328657,0.737097083328657
