,GSM239323,GSM239324,GSM239326,GSM239328,GSM239329,GSM239331,GSM239332,GSM239333,GSM239334,GSM239335,GSM239345,GSM239346,GSM239348,GSM239363,GSM239371,GSM239460,GSM239485,GSM239487,GSM239488,GSM239489,GSM239490,GSM239491,GSM239492,GSM239493,GSM239494,GSM239495,GSM239496,GSM239497,GSM239498,GSM239516,GSM239520,GSM239580,GSM240405,GSM240406,GSM240427,GSM240429,GSM240430,GSM240431,GSM240432,GSM240433,GSM240494,GSM240495,GSM240496,GSM240497,GSM240498,GSM240499
RFC2,6.59336796346875,6.29411184409375,6.35346547584375,6.2872157065625,6.36033167309375,6.36781969279687,6.25158763810937,6.44418451779687,6.51593316264062,6.37144406635938,5.81302269545313,6.44741094259375,7.57009338009375,6.35346547584375,6.78723746710938,6.67800261879688,6.90244119534375,7.05470361539062,6.42122939510937,7.22976708728125,6.74098854471875,6.57708294132812,6.92687161959375,6.27297691173437,6.39214446598437,6.69657605729688,5.74587478478125,6.42355846176562,6.17408918323437,6.19799663210938,6.58964365592187,6.381895234625,6.2140020140625,6.49407161385937,6.984068043,6.08688960814063,6.17959087342188,6.58753708901563,6.05280077898438,6.8970227538125,6.21170875242187,5.994434399625,6.21913109032813,6.02663186560938,6.37651729865625,6.34116042146875
HSPA6,4.95172530392187,4.37635086775,4.6616644294375,4.741419419625,4.16969669929687,4.8217946915625,4.3662503156875,4.76500203176562,4.38082400445312,4.1504560714375,4.11127111854687,6.10528171926562,4.70942265571875,9.65027080496875,4.448437197,9.42142883717188,4.813235689,6.75476255401562,7.5796380563125,4.53420467554688,4.13104519854688,4.8610301535625,4.51200552659375,4.2144410295625,4.18265845498437,5.07657596407812,5.39913804770312,5.75061934995312,5.73738189923438,7.11070944454687,5.66347579721875,4.9293750808125,4.05275502926562,4.1227209364375,4.10661205407813,4.20023198109375,9.13555385726563,8.9802885663125,9.02332272015625,9.56674063579688,9.39375930998438,9.31265446257813,8.128129161125,8.88605428479688,8.99373733778125,9.8127528675625
PAX8,7.50290269646875,6.913031091375,7.00734543634375,6.88464377954687,7.18528193545313,7.110302208625,6.9168144418125,6.83917577164063,7.12458425785938,7.13100791370313,7.58150396985937,7.40636789204687,7.65074356542187,7.57666289059375,7.7035738045625,7.9628658840625,7.44351855371875,7.00982026346875,7.91952243979688,8.22800982303125,7.01149511551562,7.33570673234375,7.58738670065625,7.31354092253125,7.2205863715,7.83565589884375,7.45048205520312,8.13703977365625,8.49595689146875,7.5762229831875,6.58282071929688,7.0168987639375,6.4014171013125,7.5464271134375,7.77136560435938,7.13380103978125,6.98509765698438,6.7933829406875,6.7789877703125,7.32592378064063,7.32379373840625,7.19645966746875,6.92061293109375,6.72631574765625,6.84758935320312,7.25791664603125
GUCA1A,2.27951748784375,2.21028958279688,2.23756320115625,2.21309974053125,2.24990843648437,2.25833525498438,2.24367959025,2.24254427296875,2.25636442164063,2.23794989992188,2.24652841040625,2.25706334428125,2.24009295860938,2.28212942235937,2.25899418523437,2.25462400110937,2.2467240470625,2.24549634153125,2.21887936532812,2.232721008125,2.24563438746875,2.2446258546875,2.255231365375,2.2421859904375,2.24936009385938,2.25430768185938,2.2503830361875,2.27310005442187,2.2368193186875,2.26707509390625,2.20832854034375,2.2487497680625,2.21904939484375,2.30536020717188,2.2921531498125,2.26811763451563,2.2446258546875,2.25073677840625,2.18900048007812,2.24351792034375,2.2085360776875,2.24922070559375,2.25210755417188,2.24768720503125,2.24750578898438,2.24922070559375
THRA,4.9242998371875,4.539646623375,4.49758444148438,4.491047309625,4.62596652659375,4.6112624855,4.59357047989062,4.55581866198438,4.54808686514062,4.49516538571875,4.65889377995313,4.595106132125,4.7491750711875,4.96301007575,5.26506801592187,5.12969511390625,4.84803476573437,4.57470734965625,4.98278931734375,5.46533406120312,4.56712192939063,4.5220102904375,4.67988820945313,4.69922322295313,4.67069278942188,4.87882203621875,4.4576969936875,5.06508454717187,5.66016136751563,5.28615588565625,4.23428140915625,4.5472108674375,4.39329321009375,4.72815877984375,4.73219458375,4.791035837,4.72128950154687,4.72307685378125,4.54465616040625,5.0299593354375,4.65451673384375,5.3327183353125,4.6685792624375,4.66939460917188,4.79654604157813,4.73219458375
PTPN21,2.82722587948437,2.68255168620313,2.7311919344375,2.67646038159375,2.78308367532812,2.78245374060938,2.78607944851563,2.825847401375,2.75010455507813,2.677928782,2.76802177892188,2.74746743054687,2.80121542732812,2.8117258065,2.78115432184375,2.87818595428125,2.91389446975,2.7164907570625,2.77129763590625,2.80373907571875,2.73182231454687,2.77409518821875,2.7731035971875,2.7233094216875,2.76681469803125,2.835514156125,2.88604113117188,2.85861068101562,2.97225695739062,2.80373907571875,2.66246598857812,2.71842639615625,2.73378075929688,2.85457478623437,2.86423795164063,2.80923332985937,2.75647463771875,2.78622718084375,2.6992728678125,2.83714549475,2.71307256776563,2.76245046817187,2.75630018675,2.78711115082812,2.80356477067187,2.77129763590625
CCL5,8.91275104515625,11.4239378979688,10.7770820878125,9.26874144001562,9.60935490195313,8.283900543875,9.8181119223125,9.904032321375,9.829682456125,9.69820892948437,5.13095767434375,5.46479898414063,6.57092632129688,8.29681899021875,6.17650308585938,8.70595789285938,5.5722144368125,5.562002606375,5.81963419860937,7.22574592460937,7.25791664603125,9.53437438871875,6.24214284701563,6.45721894496875,6.2304904486875,6.08096759054687,7.60564068201562,8.107922477375,8.13821198042188,7.66107904567188,10.1811048352344,7.82237568904687,9.75980813360938,7.13936564584375,7.45774155210937,7.8146341288125,10.1326513401875,9.29497728242188,9.13468903889063,8.44548671407813,8.943978117375,10.1989453967656,9.4807738288125,9.35959823296875,9.69109729345313,10.55783124375
CYP2E1,3.272100909125,3.0820341195625,3.13220690689062,2.99790531346875,3.184285609875,3.193887989625,3.18179231845312,3.228798740875,3.09954837485938,3.04159571653125,3.16560803228125,3.0875383466875,3.27048096754688,3.228798740875,3.186404199,3.21863995178125,3.24636860654687,3.08573674357813,3.193284616,3.22831029084375,3.15744000607812,3.16560803228125,3.16876849234375,3.09079140810938,3.19754694354687,3.22504512203125,3.48801876309375,3.33433950078125,3.3146514513125,3.22354585546875,3.04974490571875,3.13399046323438,3.0659261214375,3.89425420048437,3.25844784323438,3.25497263907813,3.147526934625,3.20748567457813,3.07396867171875,3.28074253798437,3.07354136565625,3.14939347492188,3.1857197375,3.14191346775,3.20275996010938,3.1804871438125
EPHB3,2.38746013578125,2.429571258,2.37849506407813,2.373056825125,2.37866195310938,2.37849506407813,2.36447402196875,2.38546400796875,2.382298392,2.41407423898437,2.36734177790625,2.38480629490625,2.63377444567187,2.38303191190625,2.35459807257813,2.33503734151562,2.38451356396875,2.36033983470313,2.40090161329687,2.31178868064063,2.36918610357813,2.37175423575,2.37175423575,2.363849204375,2.38762207725,2.38400747239062,2.3741600579375,2.35871716696875,2.353635092625,2.34954526276562,3.740364384375,2.3749074038125,2.37103978673438,2.41881708953125,2.36901261385938,2.39301478078125,2.3678076355,2.3678076355,2.37987525865625,2.40121243134375,2.3516337235625,2.36155753676563,2.37397805939063,2.39366768509375,2.38161852796875,2.36482608198438
ESRRA,6.10244930189063,5.03935479471875,5.24804573271875,5.52604935165625,5.64739878979687,5.48297769585938,5.58043645410937,5.58272255603125,5.27114778315625,5.35835298757813,5.96631698703125,5.877296726625,5.7194581544375,6.21913109032813,5.650724257125,6.2199852495625,5.93650500095313,6.11972135507813,6.12152120640625,5.99270568992188,5.51167735728125,5.69304698898438,5.82906050978125,5.66980151854688,5.70886770635938,5.82307071678125,5.52751842176562,6.71603981629687,6.15389066559375,6.43597596779687,6.185480422625,6.00855919565625,5.48203120723437,5.4911294615625,5.65457130014063,5.68369728525,5.80475977389063,5.80475977389063,5.74107974042187,6.103924906375,5.93793648325,6.3456598675,5.91864973042188,5.74805650785938,6.33289841357812,5.88662165415625
